subject,0BK_BODY_ACC,0BK_BODY_ACC_TARGET,0BK_BODY_ACC_NONTARGET,0BK_FACE_ACC,0BK_FACE_ACC_TARGET,0BK_FACE_ACC_NONTARGET,0BK_PLACE_ACC,0BK_PLACE_ACC_TARGET,0BK_PLACE_ACC_NONTARGET,0BK_TOOL_ACC,0BK_TOOL_ACC_TARGET,0BK_TOOL_ACC_NONTARGET,0BK_BODY_MEDIAN_RT,0BK_BODY_MEDIAN_RT_TARGET,0BK_BODY_MEDIAN_RT_NONTARGET,0BK_FACE_MEDIAN_RT,0BK_FACE_MEDIAN_RT_TARGET,0BK_FACE_MEDIAN_RT_NONTARGET,0BK_PLACE_MEDIAN_RT,0BK_PLACE_MEDIAN_RT_TARGET,0BK_PLACE_MEDIAN_RT_NONTARGET,0BK_TOOL_MEDIAN_RT,0BK_TOOL_MEDIAN_RT_TARGET,0BK_TOOL_MEDIAN_RT_NONTARGET,2BK_BODY_ACC,2BK_BODY_ACC_TARGET,2BK_BODY_ACC_NONTARGET,2BK_FACE_ACC,2BK_FACE_ACC_TARGET,2BK_FACE_ACC_NONTARGET,2BK_PLACE_ACC,2BK_PLACE_ACC_TARGET,2BK_PLACE_ACC_NONTARGET,2BK_TOOL_ACC,2BK_TOOL_ACC_TARGET,2BK_TOOL_ACC_NONTARGET,2BK_BODY_MEDIAN_RT,2BK_BODY_MEDIAN_RT_TARGET,2BK_BODY_MEDIAN_RT_NONTARGET,2BK_FACE_MEDIAN_RT,2BK_FACE_MEDIAN_RT_TARGET,2BK_FACE_MEDIAN_RT_NONTARGET,2BK_PLACE_MEDIAN_RT,2BK_PLACE_MEDIAN_RT_TARGET,2BK_PLACE_MEDIAN_RT_NONTARGET,2BK_TOOL_MEDIAN_RT,2BK_TOOL_MEDIAN_RT_TARGET,2BK_TOOL_MEDIAN_RT_NONTARGET,
100307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,643.0,573.5,688.5,527.0,526.0,528.0,618.0,668.5,610.5,652.0,827.5,598.5,0.875,1.0,0.833333333333,0.875,0.5,1.0,0.875,0.5,1.0,0.75,0.5,0.833333333333,1015.0,767.5,1410.0,863.0,713.0,936.0,758.0,620.0,758.0,711.5,961.0,695.0,
101006,0.7,0.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,792.0,nan,792.0,534.5,582.5,507.5,610.0,1055.5,560.0,520.5,954.5,509.5,0.875,0.5,1.0,0.75,0.0,1.0,0.75,0.0,1.0,0.625,0.0,0.833333333333,567.0,512.0,568.5,638.5,nan,638.5,505.5,nan,505.5,544.0,nan,544.0,
102008,0.9,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,741.0,703.0,784.0,571.5,653.0,552.0,627.5,660.0,627.5,656.0,1073.0,590.0,0.875,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,964.0,537.0,1032.0,674.0,1028.5,674.0,911.0,1277.0,818.0,773.5,701.0,773.5,
107422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,631.5,629.5,631.5,505.5,519.5,505.5,582.0,594.5,582.0,587.0,736.0,587.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,801.0,700.0,844.0,935.0,958.0,935.0,695.0,677.5,695.0,716.0,737.0,716.0,
108323,0.7,0.0,0.875,0.7,0.0,0.875,0.9,0.5,1.0,0.5,0.0,0.625,861.0,nan,861.0,651.0,nan,651.0,746.0,696.0,776.0,716.0,nan,716.0,0.875,1.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1030.0,895.0,1030.0,774.5,710.0,790.0,792.0,651.5,807.5,742.5,874.0,678.0,
111312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,714.0,742.0,685.5,583.0,551.0,593.0,684.0,668.5,684.0,684.0,996.5,643.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.5,0.666666666667,921.5,857.5,921.5,750.0,1263.0,750.0,849.5,1223.5,827.5,768.0,772.0,753.5,
111413,0.9,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.875,800.0,675.5,849.0,469.0,525.5,469.0,575.5,893.5,564.0,753.0,764.0,753.0,0.75,1.0,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,1097.5,1047.5,1130.0,1032.0,986.0,1032.0,1049.0,946.0,1049.0,660.0,563.5,721.0,
113619,1.0,1.0,1.0,0.9,0.5,1.0,1.0,1.0,1.0,0.9,0.5,1.0,845.0,933.0,824.0,746.0,746.0,725.5,733.0,763.0,716.0,876.0,1539.0,868.5,1.0,1.0,1.0,0.875,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1019.5,719.5,1223.5,1110.0,1110.0,1057.0,1091.5,1263.0,996.5,922.5,942.5,922.5,
113821,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.875,1.0,1.0,1.0,611.0,734.5,574.5,645.0,622.0,645.0,614.0,958.5,603.0,607.5,870.0,607.5,1.0,1.0,1.0,0.875,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,932.5,767.0,959.5,740.0,1085.0,740.0,812.0,1002.5,732.0,708.0,974.5,691.0,
115320,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.625,0.9,0.5,1.0,770.0,907.5,765.0,634.5,543.5,643.0,877.0,nan,877.0,747.0,1269.0,694.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.5,0.666666666667,1078.5,853.0,1320.5,1157.0,1048.0,1192.0,1271.5,1181.0,1271.5,720.0,474.0,765.0,
